sample_index,index,original_review,char_count,Date,Author,URL,Rating,Language
45,795,"Very nice oriented restaurant with ambitious chef Luka who’s specialty is local ingredients and herbs. Till now I was always excited and I felt really enthusiastic approach. This time was first surprise that they had only 3 menus and with different varieties of same ingredients, so no chance for something more common as beef stake or similar and to many combinations of different tastes and ingredients which were not composed into a harmony. Also inexperienced new young waiter wasn’t handle service well, so final experience was a little bit disappointing. Maybe was the last day before closing for holidays but I suggest guests to check offer before reservation. ",551,2019-08-08,MK001,https://www.tripadvisor.com/ShowUserReviews-g5985537-d5267378-r696917374-GRIC_LUKA_KOSIR-Sentjost_Nad_Horjulom_Upper_Carniola_Region.html,3,en
46,837,"Kashiwaya is a 3 Michelin Star restaurants tucked away in the north side of Osaka. A little bit of a hassle getting there, but worth the trip.   The service and experience was definitely a 5 Star experience but the taste of some of the dishes didn’t completely suit our taste. The winter seasonal lunch menu came with 10 courses, all of which were beautiful plated with a brief description/explanation of the dish and its influences.   Though the taste wasn’t perfect for us, could very well be for others with a more refined palate. The service, experience, plating, and overall ambiance is well worth the visit, and enough to bump from 4 to 5 stars ",518,2017-12-27,Michael K,https://www.tripadvisor.com/ShowUserReviews-g1023474-d9621651-r549549705-Kashiwaya-Suita_Osaka_Prefecture_Kinki.html,5,en
47,943,"Exceptional place where you have to reserve three months in advance. Fortunately we knew somebody who knew the big boss..so we got a table. This restaurant has been ranked first in the World by all the top International Chefs, so we expected to find something amazing, and this was really amazing. The setting of the restaurant is simple, but the view is fantastic. There is no menu, the waiters/Waitresses just bring dish after dish with a detailed explanation about each dish. Everything is bio and essentially grown in the restaurant gardens. The wine list is extensive and affordable. The service is outstanding. Perfect lunch. Of course it cost a lot of money, but if you cannot afford, do not try to get in.",572,2023-07-31,jmLondon845,https://www.tripadvisor.com/ShowUserReviews-g187231-d785504-r906914355-Mirazur-Menton_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d_Azur.html,5,en
48,457,"We initially chose this establishment for its setting and location…. and we had a very excellent evening thanks to the discovery of a new Chef who took us on a beautiful gastronomic trip across land and sea. 1001 flavors accompanied us throughout our dinner. What can we say about these vegetables, fruits and flowers from Clos de Noville, this Michelin-starred farm…. just a treat that also contributes to ecological values and sustainable development. The indoor team, made up of enthusiasts, was able to introduce us and lead this land/sea stroll with a thousand and one flavors in a friendly, cheerful and very professional atmosphere. Congratulations to all of this very good Parisian restaurant and THANK YOU!",584,2023-08-29,Christophe G,https://www.tripadvisor.com/ShowUserReviews-g187147-d1096668-r913813230-Bellefeuille-Paris_Ile_de_France.html,5,en
49,1189,"Young and modern star cuisine that focuses on sustainability. Almost everything from bread to butter, sausages, vinegars, etc. is made in-house and purchased directly from - usually regional - producers. Animals are only bought whole and processed according to the ""nose to tail"" principle. The kitchen works with local products, although the preparations often follow international ideas, but sashimi is then served from trout, for example, or bottarga is made from the roe of local fish species. Exciting taste experiences, everything very skilfully prepared, interactive and well-organized service. Suitable and varied wine accompaniment. My personal highlight of the evening was the scrambled duck eggs with Judas ears and Franconian truffles.",615,2024-03-10,Johnwesleyharding,https://www.tripadvisor.com/ShowUserReviews-g187310-d25238809-r941660638-Etz-Nuremberg_Middle_Franconia_Franconia_Bavaria.html,5,en
50,785,"I've decided to return to Grič restaurant since I was so impressed by it about half a year ago. Once again the food was innovative and beautiful. I liked the dishes I ate in September slightly more than this time, but you have to know they use only homegrown, local, and foraged foods which vary throughout the seasons. Overall I was satisfied with everything and once again impressed by the flavors and the smart usage of wild leaves etc. Yes, expensive, but the price is normal for a Michelin star restaurant and if you know how to cherish gourmet food, you will understand that you pay for an experience.",486,2022-05-26,Damascus,https://www.tripadvisor.com/ShowUserReviews-g5985537-d5267378-r840087203-GRIC_LUKA_KOSIR-Sentjost_Nad_Horjulom_Upper_Carniola_Region.html,5,en
51,706,Excellent and imaginative cuisine cleverly using local ingredients. The cooking is delicate and full of flavours progressing seamlessly from dish to dish leaving you wanting more at the end of a memorable meal. The restaurant is small inside but gives the impression of cleverly defined space using picture windows with a magnificent view of the rural countryside also having the benefit of a beautiful walled terrace which is perfect for a pre meal aperitif and post meal coffee. A must visit if you are lucky enough to be within striking distance of this gem.,464,2021-10-02,nicholas p,https://www.tripadvisor.com/ShowUserReviews-g6919454-d15027610-r812691676-Aponem_Auberge_du_Presbytere-Vailhan_Herault_Occitanie.html,5,en
52,873,"Celebrated our wedding anniversary here.   Chef‘s use of plants from the kitchen gardens and the local area is innovative and very tasty.   The menu was easily adapted to one of us being pescatarian.   The amuse bouches through each of the nine courses were excellent.   Very innovative and surprising use of edible flowers, which both the chef and the owner clearly have a passion for.   There is a clear objective to serve dishes that you won‘t find elsewhere - to stand out.   The wine pairing, representing smaller Swiss suppliers, was also very good.   The restaurant has a stunning view of the valley and surrounding mountains.  The decor is very typical Swiss chalet, with some quirky twists, and is cosy.   Service is friendly and efficient.   Highly recommend, and would definitely dine here again.",638,2023-06-16,JMN,https://www.tripadvisor.com/ShowUserReviews-g580347-d13800823-r895403976-Regina_Montium-Rigi_Kaltbad.html,5,en
53,333,"my hubby brought me to Amber for birthday lunch. I havent been to Amber for quite some time and now they offer lunch set with free flow which is so perfect for me! the ultra premium free flow offers great wines and really worth the price! the food was really good and i really do love the service. how the professional servers presented the dishes definitely enhanced the appetite!  the lunch went so well that i got the whole list of servers who served us, really thank you to Laura, Batuhan, Suku, Sabnam, Arthur, Katrina, Bipika, Mark, Gap, Constance, Scott, Franky and Kenny! truly appreciated!  Special thanks to Arthur who presented the dishes so well, Katrina with great smile and who conveyed my message to kitchen and Gap who was so attentive to my glasses!",609,2024-02-12,ivytsang212,https://www.tripadvisor.com/ShowUserReviews-g294217-d939504-r937925396-Amber-Hong_Kong.html,5,en
54,263,"Great experience with friends. The establishment is well located and the premises are spacious. A table in the small “alcove” a little away from the others. The staff is friendly. The menu delighted us. We feel the directions and influences of Christophe Hay. Beautiful exchanges with the staff including the chef whose youth does not hinder his talent.  Small downside: a gluten intolerant who, despite the information when booking and several reminders at the start of the meal, had, during the meal, a plate with the crispy. Fortunately we realized this in time and we exchanged plates between us.",485,2024-02-02,KPN45,https://www.tripadvisor.com/ShowUserReviews-g1079434-d14768322-r936605864-La_Table_Christophe_Hay_Et_Lois_Bee-Ardon_Loiret_Centre_Val_de_Loire.html,5,en
55,365,"Had a very slow and relaxing afternoon! Started with fresh fruit platter and traditional sweets Savoury platter was nice too with Chinese pasteries  Recommend to have an empty tummy before you come (skip lunch!), though there is only one piece for each sweet/ savoury to share between two, it is still in a very generous portion, you also get to choose and add extra bite whichever is your favourite one  Our server Carter was very professional and attended to details, you would never run out of tea and make sure everything is alright   Did I mention about the live music harp performance? Just adds that extra tranquility and atmosphere to the total dining experience",543,2019-12-10,Rainingrain,https://www.tripadvisor.com/ShowUserReviews-g294212-d3330316-r731985159-King_s_Joy-Beijing.html,5,en
56,906,"Customer beware! I became sick the afternoon of our reservation. I called three time to cancel.  Voice message said the restaurant was closed. I tried to email and text. No response. The policy - cancel 24 hours before reservation or you will be charged 139 euros as I was! But I was not sick 24 hours prior!! Later, their response nasty response showed no understanding and never said sorry you were sick. Just awful. I have been all over the world and have eaten at Michelin starred restaurants including many top five worlds best restaurants from 50 best of Pellegrino Restaurants!! Never have I not at least been able to contact the restaurant out of courtesy. I was glad not to support this restaurant. They will never make it into the Pellegrino list with this lack of service. So customer beware and don’t get sick!!",657,2022-10-11,m c,https://www.tripadvisor.com/ShowUserReviews-g190454-d2524649-r864192104-Tian_Restaurant_Wien-Vienna.html,1,en
57,306,"We arrived full of anticipation and with high expectations of “Cook the Mountain”. We weren't disappointed. The reception alone was fantastic. As if visiting friends, you had to ring the bell and then you were greeted with a small line of service staff. This level of service was maintained at a very high level throughout the evening. Cheers! The tour of the house including the kitchen by the chef is part of the concept and enhances the whole experience. The meal was a delight, course after course. The concentration on the essentials, the aroma and the enjoyment, combined with sustainability is a culinary experience in a class of its own.",520,2024-03-19,Lutz888,https://www.tripadvisor.com/ShowUserReviews-g194704-d26683048-r942878358-Atelier_Moessmer_Norbert_Niederkofler-Brunico_Province_of_South_Tyrol_Trentino_.html,5,en
58,421,"We have been regular guests for several years but last time we have been really disappointed as we invited friends (we were 4) and we got a bill of 18.000 TL for few dishes with no alcohol.  The main reasons that no more will go there is that Mr J8 took the orders, charging « a la carte » instead of using the set menus & provided none professionals comments to the waiters (we heard & understood) to maximize our bill.  Definitely Mr Hakan that we knew before was more professional and this kind of behavior will only negatively impact this place. Last, menus are the same (2 years) and you will get borrowed quickly. + most of the dishes were delivered cold.  You have to keep in mind when you focus only on commercial objectives and develop bad behaviors that by the end you will lose your DNA which is already the case.",648,2024-09-04,Sukru Bey,https://www.tripadvisor.com/ShowUserReviews-g2543601-d16659039-r968261066-OD_Urla-Urla_Izmir_Province_Turkish_Aegean_Coast.html,2,en
59,188,"Gourmets worldwide know the Michelin Stars cuisine of Jean-Michel Lorain, good for a culinary surprise at every visit, but only a few have enjoyed one of his creative snacks, being served on the Terrace of the Lobby Lounge overlooking the river. A simple Club Sandwich is served in such a creative fashion, that nobody will miss the traditionel french fries, or a simple, but delicious  salad is dressed on a square plate so tastefully that one feels guilty to est it. All in all, an example how creative and tasteful simple snacks can be presented, only outperformed by the gracious and polite service. Definitly worth a detour.",509,2018-05-21,_pwtsr,https://www.tripadvisor.com/ShowUserReviews-g196540-d1440197-r581621374-La_Cote_Saint_Jacques-Joigny_Yonne_Bourgogne_Franche_Comte.html,5,en
60,929,"When it comes to attention to detail and staff there is no questions why Mirazur has the rating it does.   This was my first dining experience at a three Michelin Star restaurant. The staff was great and friendly and the food was fantastic. The menu changes periodically based on the season and what is grown in the garden. When I was there, it was a floral season and each dish had a floral taste to it from the actual flowers that were in there garden. It is a pretty amazing thing to experience eating something that someone may never have again since the menu changes so frequently.   The view is 10/10 and the nine courses are all very filling.",518,2024-03-02,Monica Hughes,https://www.tripadvisor.com/ShowUserReviews-g187231-d785504-r940561043-Mirazur-Menton_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d_Azur.html,5,en
61,1254,"On our way back from the Cote d'Azur we had made what turned out to be an inspired choice when deciding to add in a stopover at Maison Aribert with a night at the hotel. Our dinner was truly outstanding, the best that we have had this year even exceeding our dinner at Mirazur (and that for about half the price I shall add). The dining room was modern, well designed and spacious. Staff made every effort and succeeded in making us comfortable the entire evening. The sommelier presented us with three excellent very well chosen wines. And the food, well the food was the absolutely outstanding menu des Specialites. We enjoyed every single dish and were unable to find even the smallest fault. If Monsieur Aribert is cooking like this every day then the third star will be awarded very soon.   I can't wait to return.",655,2020-09-28,Martin P,https://www.tripadvisor.com/ShowUserReviews-g811243-d16725683-r772283603-Maison_Aribert-Saint_Martin_d_Uriage_Isere_Auvergne_Rhone_Alpes.html,5,en
62,1133,Unfortunately we have experienced it badly we thought after a few years we will have dinner at Lutum because we were always regular guests at the previous owners Jeroen and Natasja of the monastery but unfortunately to our disappointment.   We found the prices very high for what we got. And the wines were unfortunately not our thing and that is of course possible. We wanted to stick to a few courses because of stomach reduction but were told that they did not participate. I didn't think this was social because it could also be said we are going to take it into account but unfortunately ...   Unfortunately no new guests there. We wish you every success.,531,2024-07-04,D R,https://www.tripadvisor.com/ShowUserReviews-g652340-d3601999-r958019083-Restaurant_Lutum-Wijk_bij_Duurstede.html,1,en
63,889,"I redeemed my birthday present here yesterday. Fantastic! A historic building complex worth seeing and super friendly hosts. We were welcomed from the first minute. The surprise menu was really a surprise. Each course was a taste bomb. Culinary art of an extremely high standard. Many thanks to Daniel Schmidthaler and his brilliant team. Super friendly presentation. Very attentive service. We had a lot of fun together. The accompanying wines were poured and introduced by the ""boss"". Unexpected and perfect with the courses. Excellent! We would love to come back. The trip to the Feldberg Lake District is definitely worth it!",511,2023-11-26,TessinausMV,https://www.tripadvisor.com/ShowUserReviews-g651880-d2444501-r927482716-Restaurant_Alte_Schule_Furstenhagen-Feldberger_Seenlandschaft_Mecklenburg_West_P.html,5,en
64,1138,"We had a medium kontrast menu. Food and wine-pairing were outstanding. The service was excellent. They had no problems adapting the menu to allergens.   All in all, we had an excellent evening here.   If there is anything that we would have liked differently, it would be the food presentation. The staff come from different countries and speak different levels of English, so when you try to pronounce difficult Norwegian names and ingredients, it can be difficult to understand it well. The other thing that would have been nice would be to receive a copy of the menu to take home.  ",467,2024-05-19,TravellerMan72,https://www.tripadvisor.com/ShowUserReviews-g190479-d5551804-r951480776-Restaurant_Kontrast-Oslo_Eastern_Norway.html,5,en
65,107,". . . It really is the best restaurant in the world. . . The experience is worth it. . . Excellent Tasting Menu with Pairing an opportunity to try food and drinks that you would otherwise not be able to access. . . One of the things you have to do at least once in your life. . . 100x100 experience recommended. . . Realment, és el millor Restaurant del Món . . . L'experiència val la pena . . . Excel·lent Menú Degustació amb Maridatge una ocasió per probar menjars i begudes que d'una altra manera no hi podries accedir . . . Una de les coses que s'han de fer almenys una vegada a la vida . . . Experiència 100x100 recomanable . . .",462,2024-04-18,LoSALVA,https://www.tripadvisor.com/ShowUserReviews-g187499-d996088-r947315218-El_Celler_de_Can_Roca-Girona_Province_of_Girona_Catalonia.html,5,en
66,1205,"Piazza Duomo deserves its Michelin stars- the food, wine, service and ambience are all first rate. Our party of 4 thoroughly enjoyed the tasting menu with accompanying wine pairings. There is something to satisfy every palate and the chef was very accommodating with respect to dietary restrictions (let them know when you make the reservation).  The tasting menu has 8 courses, plus an amuse Bouche and bonus dessert. Portion sizes are appropriate for the number of courses, so that one can enjoy all of the items without feeling overwhelmed. While it is hard to pick highlights, for me the standouts were the “antipasto piemontese” and the “Gavour”. We also added their signature dish, the “Salad 21,31,41,51…” Overall a fine dining experience not to be missed.",612,2022-10-30,phil fort wash,https://www.tripadvisor.com/ShowUserReviews-g194664-d1492721-r866581097-Piazza_Duomo-Alba_Province_of_Cuneo_Piedmont.html,5,en
67,639,"Atmospheric, edge-of-kitchen tables reveal, close up, the passion of the engaging maestro Bruno. The quality of ingredients and cooking are worthy of 3 stars, justifying the high prices (all-but-raw lobster in a disarmingly expansively flavoured ocean of greenery being the star of the evening). And yet here we find none of the preciousness required of higher instellation: just a friendly understated sophistication of honesty. And (surprising though it may seem by reference to the carte) generosity. One to-be-shared portion of an exquisite foie gras with cocoa nibs over a sliver of eel having been ordered, we were served three slightly smaller portions for the price of one - all with an engaging smile.  Not for every day, but for a splurge, we’ll be back!",614,2020-02-08,William F,https://www.tripadvisor.com/ShowUserReviews-g187147-d5594192-r743752804-Restaurant_Table-Paris_Ile_de_France.html,5,en
68,1122,"We went on a Sunday evening and we were the only guests when we arrived.  The tables outside offered a view of a big grassy area surrounded by houses and a tree lined drive way.    We had to transfer inside when it started to drizzle.  If the tables outside were very casual, the tables inside had starched white linen and napkins and very cozy ambiance.  Perfect for quiet dinners!  The food selection was very good.  I enjoyed the Kabeljauw.  The homemade dessert was a nice touch- given by the chef to us. :)  I wish I'd have another chance to visit this place again soon- and stay longer.  Just chill and savor the good vibe of the place.",498,2015-07-22,mimabama,https://www.tripadvisor.com/ShowUserReviews-g652340-d3601999-r291640561-Restaurant_Lutum-Wijk_bij_Duurstede.html,5,en
69,669,"You book for two and, unfortunately, your friend warns you at the last moment that she is ill, for which you apologize at least twice: it will cost you 260 CHF... It can be understood, but when you choose the most expensive menu with the wine pairing to compensate, it is still a bit unpleasant... An 11-course menu, the first 3 of which were too salty, for my taste. The other 8 were correct. Lots of blabber. Nice and efficient service. Perfect sommelier. Pension and restaurant lost two guests, but they probably don’t care. And even if we do you a ""favor"", charging you only 130 CHF in the end, the damage is done.",477,2024-08-28,Humerus77,https://www.tripadvisor.com/ShowUserReviews-g198797-d19003653-r967250894-Sven_Wassmer_Memories-Bad_Ragaz_Canton_of_St_Gallen.html,1,en
70,797,"We visited the restaurant due to the recommendation of the owner of the apartment we rented in the area.  The food was delicious and surprising from the first serving until recently. The combination of ingredients from local nature ingredients and dishes was amazing and sensational. We were very impressed by creativity, daring and imagination of the chef who served delicious and intriguing dishes and a right amount one by one. The dessert that combined yogurt, vanilla ice cream with delicate saltiness on a bed of pine scales and pine needles syrup was amazing. We enjoyed the atmosphere, the food, the wine and the nice staff.  We will strongly recommend",540,2019-08-02,urishamir,https://www.tripadvisor.com/ShowUserReviews-g5985537-d5267378-r695086344-GRIC_LUKA_KOSIR-Sentjost_Nad_Horjulom_Upper_Carniola_Region.html,5,en
71,1240,"It is a pre-set menu with 18 bites. Also it is a predomenenant fusion of local ingredients with Asian preparation tehniques, athough few courses are traditional Slovenian.  Overall you will get fantastic coulinary experience way to complicated to explain but somehow it is working in perfect harmony Crew is multinational and they have very relax approach to the customer during service which does not means that they are not professional.  17 people working in kitchen and 5 waiters will hold the room Food will cost you 255€ per person without drinks.  I am all for this and I will visit again when they change menu. Alane thank you for your service it was perfect",542,2023-07-24,AngeloB971,https://www.tripadvisor.com/ShowUserReviews-g319788-d1059106-r905313150-HISA_FRANKO-Kobarid_Slovenian_Littoral_Region.html,5,en
72,117,"What an incredible amazing lunch we have had here. We sat at a table from 12.45 h to almost 18.00 h and it flew by in a minute.  Excellent food , well served and explained by our very professional waiter Alex.  13 appetizers followed by the Feast menu of 13 plates may seem a lot but it’s not.  It’s the perfect amount , for the plates are quiet small , meant for you to tast each flavour without feeling full at any moment.  Highlight of the day was the kindness and availability of the 3 Roca brothers who took  time to take a photo with us and were kind enough to show us their kitchen.  Chapeau !!! ",464,2023-07-28,Gerard Lopez,https://www.tripadvisor.com/ShowUserReviews-g187499-d996088-r906383747-El_Celler_de_Can_Roca-Girona_Province_of_Girona_Catalonia.html,5,en
73,890,"Nestled in the Feldberg lake landscape you will find the Hotel Alte Schule in Fürstenhagen. We booked the maisonette room and spent two fantastic evenings in the Klassenzimmer restaurant. On the first evening we were treated to a wonderful 7-course menu, cleverly prepared, beautifully presented and served. The second evening with the vegetarian option was also an absolutely tasty experience with extraordinary combinations of various regional ingredients. The delicious breakfast and the very friendly service rounded off our stay. You will be enchanted here! 5 stars",475,2023-10-27,Road57,https://www.tripadvisor.com/ShowUserReviews-g651880-d2444501-r923210289-Restaurant_Alte_Schule_Furstenhagen-Feldberger_Seenlandschaft_Mecklenburg_West_P.html,5,en
74,1174,"Our party of 4 had a phenomenal dining experience at Atelier Crenn. The chef and her staff totally understand all elements of restaurant hospitality, starting with the delicious and innovative menu, but extending to the ambiance and professional but incredibly friendly service. We selected the “movable feast” tasting menu experience and, after consultation with the Sommelier, the wine pairing (I note that the wine pairing was not at all “pushed”). Every course was beautiful and delicious. We have had the privilege to dine at what are considered some of the best restaurants in the world and Atelier Crenn is right up there with them.",521,2021-10-24,phil fort wash,https://www.tripadvisor.com/ShowUserReviews-g60713-d2001299-r815869527-Atelier_Crenn-San_Francisco_California.html,5,en
75,371,"I’m always on the hunt for everything from Michelin-starred gems to hidden hole-in-the-wall spots, and this dinner easily ranks in my top 10 meals of all time. The dishes blends classic French techniques with Japanese flavors, resulting in a light yet flavorful meal that never feels as heavy as traditional French cuisine. The progression of the courses was great and there was no let down dish. The staff was attentive and courteous but also delightfully engaging, making us feel truly welcomed with casual conversation throughout the night. Highly recommend!",460,2024-10-02,flab19,https://www.tripadvisor.com/ShowUserReviews-g14129744-d3650658-r972345997-L_Effervescence-Nishiazabu_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,5,en
76,677,"Yesterday night I had my first dinner at restaurant Flore and it was amazing. We had the Omnivore menu with the seasonal wine pairing. It was an extraordinary gastronomic journey, beginning with four amuse bouche where I fell in love with the fried oyster in miso, then we continued with seven dishes where colours and flavours  combined like magic. The main course was the lamb, it was very juicy and extremely tender. We had the opportunity to taste this dish inside the kitchen at the chef’s table and it was great seeing the chef’s team at work. The dinner closed with an amazing dessert, that combined tomatoes with raspberry, and with the friandise. Everything was perfect. Sommeliers, waiters and chefs moved lik ballet dancers in the room, incredible.",614,2024-07-14,Rebecca Luisetto,https://www.tripadvisor.com/ShowUserReviews-g188590-d2315768-r959485018-Restaurant_Flore-Amsterdam_North_Holland_Province.html,5,en
77,324,"Amazing dining experience from the front desk welcoming staff , end with the surprise hospitality gift, this 2 and a half hours lunch taught us what is the exceptional art of dishes , and how the service of the professional term . The full set menu provide drinks, 4 courses creative plates, so delicious and eye catching, credit goes to the high standards performance of chef team, every dishes was explained by staff who showing the knowledge of food, the generous dishes size and quality much more than our expectations. This beautiful food journey not only for anniversary celebrations and special date, once need to pamper themselves from good days or bad days, Amber sure is the choice.",562,2024-09-11,finejenny,https://www.tripadvisor.com/ShowUserReviews-g294217-d939504-r969294855-Amber-Hong_Kong.html,5,en
78,1094,"We selected the 5 plates menu with wines @ 125euro/pers The wines were well selected an tasty! 2 starters of a rare originality but tasty even if the asparagus soupe was for me with gelatine. The eg in the eg with truffles is the favourite. The disappointment came with an intermediate dish containing only one broccoli with a kind of béarnais, the main course à soupe of oyster and fish was not the right place for it even if it was nod bad! We would much loved an Alsaciens plate revisited...of course we selected the chef surprise menu. Not really what we expect from a 1 star Michelin restaurant ",478,2017-06-05,Xavier T,https://www.tripadvisor.com/ShowUserReviews-g196497-d15014147-r490566775-Thierry_Schwartz_Le_Restaurant-Obernai_Bas_Rhin_Grand_Est.html,2,en
79,1221,"Everything was outstanding!  I have been to other 3 michelin star restaurants before in different areas of the world. HISA FRANKO was more than perfect. Service was professional and ditealed. The food was beautiful and the best testing food I ever had. The wines were interesting( I choose the funky option, I had wines I never tried before). I had nothing to complain of and nothing to ask for, because they were ahead of the game every step of the diner during the entire night. Well done!   I am gluten free and they serve me the best buckwheat beignet, tagliolini, and cappelletti I ever had before and after becoming sensitive to gluten. It was better than the once I have had with gluten when I was able to eat everything.  I would like to return here perhaps in the spring.",620,2024-09-30,Kristina K,https://www.tripadvisor.com/ShowUserReviews-g319788-d1059106-r971992773-HISA_FRANKO-Kobarid_Slovenian_Littoral_Region.html,5,en
80,1294,"I'm still chewing over (no pun intended) the Vespertine experience, nearly two weeks after eating there, and I think that says a lot.  It's a gustatory and sensory 360 immersion in the chef/owner's vision of future fine dining - difficult to sum up, but at one point I found myself thinking that I'd been transported to a kind of friendly Blade Runner 2049 scenario.  The food was almost faultless, full of subtleties and surprises.  The service was impeccably well informed and … almost kindly, as if the staff know that their customers are going to be somewhat bewildered and will need some friendly advice.  The architecture would be worth a visit on its own.  Overall, a once-in-a-lifetime experience - although I'd try it again in a heartbeat if someone else was paying.  All I can say is: bravo!",630,2018-08-25,JonDur57,https://www.tripadvisor.com/ShowUserReviews-g32272-d12607469-r610308210-Vespertine-Culver_City_California.html,5,en
81,849,"One of the best experiences of my life! Fantastic food, wine and service! And the room was so inviting and set the stage for the meal.   Angel greeted us and wrapped up our evening with such grace and style - set the mood right out of the gate! Arnaud and Florian were exceptional! Everything they suggested, including the wine was truly amazing and a great pairing! And Moose’s delivery of the fish - not only was it a great presentation but such a wonderful meal!   And then at the end of the night after all the amazing food, wine,  service and atmosphere the chef came out to meet us, ask us about our dinner and thank us for coming.   Such a special night - highly recommend this amazing one of a kind place! A special thanks to Chef Alain Passard! Truly fantastic! 5 Stars!!!!",608,2024-10-21,Kacie,https://www.tripadvisor.com/ShowUserReviews-g187147-d718128-r974867380-L_Arpege-Paris_Ile_de_France.html,5,en
82,717,"From the moment we entered the venue we were happily surprised by the ambiance of the restaurant, the friendliness of the staff, the outstanding and tasteful dishes and the way they were presented at the table.  Aponem truly gives you an experience you've never had before. Every dish was a piece of art and mouth-watering. One gentle advice to the sommelier is to serve a broader variety of drinks for non-alcohol drinking guests accompanying the marvelous dishes, that would really make it complete. As it was wintertime when we visited Aponem, we did not have the chance to enjoy the splendid views, we’ll certainly come back during spring or summer.",529,2019-02-25,Wim M,https://www.tripadvisor.com/ShowUserReviews-g6919454-d15027610-r654710675-Aponem_Auberge_du_Presbytere-Vailhan_Herault_Occitanie.html,5,en
83,1273,"I was ashamed. We invited a couple friends for lunch in this 2 Michelin star. Sorry, my friends, we didn't know that we were going to share a small tartlet (the size of a small bowl, 6 cm in diameter) into 4 for our dessert. What can we say about the piece of pigeon, the only meat dish, the size of a lady's thumb, a lady not in good health, 2 small, very small bites. 2 Michelin stars!!! maybe these were just samples? Will we go back to check it out? useless, the cheese platter only contained goat cheese, only! I don't like goat. Great French cuisine, an insight for foreign tourists, no that's not it, I assure you. There are places where the customer is not taken for a....",516,2023-08-13,Gisèle g,https://www.tripadvisor.com/ShowUserReviews-g811243-d16725683-r909946936-Maison_Aribert-Saint_Martin_d_Uriage_Isere_Auvergne_Rhone_Alpes.html,1,en
84,758,"We booked for 4 to celebrate a reunion dinner with our old friend and his wife. Unfortunately, his wife could not join us last minute. The manager was very kind even though I could not inform them earlier.   The decoration is simple but elegant. The menu is more than interesting. We could not drink that much, so we didn’t have the wine pairing. Each dish is a piece of art. One can immediately appreciate the dedication the entire culinary team has put into creating it. Every piece is unique and decorated with passion and precision! We had such a wonderful experience and would certainly return if we are back in Berlin.",499,2024-03-04,RChuan,https://www.tripadvisor.com/ShowUserReviews-g187323-d718320-r940778405-Rutz_Restaurant_Weinbar-Berlin.html,5,en
85,1158,"Unfortunately a disappointment. We had high expectations for the visit and the start was very promising with a warm welcome (but no one opened the door or greeted us by the door so we were a bit puzzled by that). The restaurant had many new dishes on the set menu that did not seem to have been tested out sufficient before it reached the table of the guest paying a lot for the food. When I dine at a Michelin restaurant I expect top-notch. I am wondering if this place would have had a star if it was located outside of Oslo? Both Re-Naa when it had one star (now 2 stars) and Speilsalen (visited a few months before they received a star) are way above in service, attendance and  food/wine.",546,2021-07-25,Pjusken,https://www.tripadvisor.com/ShowUserReviews-g190479-d5551804-r799666093-Restaurant_Kontrast-Oslo_Eastern_Norway.html,3,en
86,607,"This place is unique in the world. The location is stunning, simply as beautiful as it gets. The Maison is built in such a way as to make it seem that you are dining in the middle of nature, in the middle of the forest. From the bread to the last dish of the tasting menu I've had, everything was just delicious. The style of the cooking here is my favorite one : perfect textures and memorable sauces with acidity to be the host. Just perfect for my taste. I don't know if this big Maison is the best restaurant in the world because I've not been in every restaurant of the world but I can surely say that this is by far the best restaurant I've ever been to. The level here is unattainable. Spectacular service and a spectacular wine list with correct prices. Five is not enough, it deserves six balls as a mark in TripAdvisor.",653,2020-08-26,nicco242,https://www.tripadvisor.com/ShowUserReviews-g3845710-d12334831-r767194505-Troisgros-Ouches_Roanne_Loire_Auvergne_Rhone_Alpes.html,5,en
87,199,"We were here more than a year ago and had a great dinner so wanted to revisit the restaurant. It was even better than the last visit as we were able to sample the spring/summer menu. Service was outstanding, attentive but not hovering. The dining room is quiet yet not stuffy. We asked the som to suggest a wine given our description of preference in a white wine. He suggested a modest chablis (60 euro) rather than a super pricey selection. It was spot on for our taste. Multiple choices for the fixed price menu, plus an excellent a la carte listing offered variety and quality as well. Be sure to order the oyster ""pate"" that appears to have been made with whole, raw (uncooked) oysters. Excellent.  The dinner will put a dent in your wallet, but you will remember the food and not necessarily the cost. ",638,2017-06-20,Robin F,https://www.tripadvisor.com/ShowUserReviews-g196540-d1440197-r494695438-La_Cote_Saint_Jacques-Joigny_Yonne_Bourgogne_Franche_Comte.html,5,en
88,1196,"It is “usually” once in a life time experience. Make reservation way in advance, save money (lot of it) and be prepared to the amazing journey and experience of almost 5 hours.  The seasonal tasting menu (11 courses) with extra signature dishes is what we tried and loved.  I highly recommend the rarity wine pairing, both the Nebbiolo and the champagne…… the food is PERFECT but the Wine will exceed your expectations as it is very rare and meticulously picked, not to match the food, but to enjoy usually in between courses for the full appreciation of the wine selected.  Service: the best you can get in Italy….. To be greeted by the chef himself and take pictures with him and while signing your menu, is just an added bonus to an excellent experience.",599,2024-10-08,TOURtheWORLDMexPal,https://www.tripadvisor.com/ShowUserReviews-g194664-d1492721-r973136166-Piazza_Duomo-Alba_Province_of_Cuneo_Piedmont.html,5,en
